,Correct_Univ_1(my.harvard),org_id_1,Correct_Univ_2(my.harvard),org_id_2,Tested_Univ(madris),institution_id,Best_Rating
33,"('UNIVERSITYOFLIBERIA', 80)",SF000001143,"('UNIVERSITYOFBERNE', 79)",1000047608,UNIVERSITYOFIBEROAMERICAFACULTYOFMEDICINE,5095,80
40,"('KASTURBAMEDICALCOLLEGE', 80)",1000048946,"('LADYHARDINGEMEDICALCOLLEGE', 78)",1000048804,KAOSHIUNGMEDICALCOLLEGE,4930,80
30,"('KUSCHOOLOFMEDICINE', 80)",SF000001482,"('GISCHOOL', 79)",1000039966,ALBERT-SZENT-GYORGYSCHOOLOFMEDICINE,4846,80
27,"('GRANTMEDICALCOLLEGE', 80)",1000049336,"('ASHLANDUNIVERSITY', 79)",1000040359,RNTMEDICALCOLLEGERAJASTHANUNIVERSITY,5075,80
43,"('GOAMEDICALCOLLEGE', 79)",1000046725,"('BJMEDICALCOLLEGE', 79)",1000048824,CUSHAHMEDICALCOLLEGESAURASHITRAMEDCTR,5120,79
44,"('GOAMEDICALCOLLEGE', 79)",1000046725,"('BJMEDICALCOLLEGE', 79)",1000048824,RAJAHMUTHIAHMEDICALCOLLEGE,4934,79
26,"('GOAMEDICALCOLLEGE', 79)",1000046725,"('BJMEDICALCOLLEGE', 79)",1000048824,QUAID-E-AZAMMEDICALCOLLEGE,4518,79
22,"('MEDICALCOLLEGEOHIO', 79)",1000047015,"('BJMEDICALCOLLEGE', 79)",1000048824,VARDHMANMAHAVIRMEDICALCOLLEGE,5072,79
42,"('CAIROUNIVERSITY', 78)",1000046413,"('POSTUNIVERSITY', 77)",1000043885,SRINAKHARINWIROTUNIVERSITY,4932,78
14,"('ISCHOOL', 77)",1000002555,"('ISCHOOL', 77)",1000002555,PENINSULAMEDSCHOOL-UOFEXETER,5056,77
20,"('UPCOLLEGEOFMEDICINE', 77)",1000049095,"('SHIFACOLLEGEOFMEDICINE', 76)",1000046031,BASKENTUNIVCOLLEGEOFMEDICINE,5071,77
15,"('ALMACOLLEGE', 74)",1000040186,"('BARDCOLLEGE', 74)",1000040446,SHARMAMEDCOLLEGEMAHARISHIDAYANANDU,5057,74
